"Name(s)","name","N_50","r_50","RA_ICRS","DEC_ICRS","GLON","GLAT","Plx","pmRA","pmDE","Rv","N_Rv","Dist_[kpc]","Dist_STDDEV","Av_[mag]","Av_STDDEV","Diff_ext_[mag]","Diff_ext_STDDEV","Age_[Myr]","Age_STDDEV","FeH_[dex]","FeH_STDDEV","Mass_[Msun]","Mass_STDDEV","Binary_fr","Binary_fr_STDDEV","Blue_str","C3","P_dup","UTI","bad_oc"
"OC 0164","oc0164",37.0,7.2,326.51005,57.63814,100.06856,3.22935,1.0721,-1.4464,-3.2578,-5.5651,3.0,"nan","nan",3.29,"nan","nan","nan",6.0,"nan",0.575,"nan","nan","nan","nan","nan","nan","AC",0.0,0.4,"n"
"OC 0165","oc0165",21.0,7.9,333.0097,53.8995,100.74834,-1.95744,0.908,-1.7692,-2.3839,-25.5902,11.0,1.095,0.0636,0.93,1.8802,0.51,"nan",283.0,60.0,0.4675,0.152,736.0,"nan","nan","nan","nan","BB",0.0,0.33,"n"
"OC 0166","oc0166",61.0,1.6,333.80743,54.33359,101.36583,-1.86522,0.2887,-3.9436,-3.2938,-74.7236,1.0,"nan","nan",3.67,"nan","nan","nan",398.0,"nan",0.112,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0167","oc0167",38.0,0.9,332.6027,55.39396,101.40169,-0.59778,0.1624,-1.8568,-2.0906,-72.9299,1.0,"nan","nan",0.0,"nan","nan","nan",20.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0168","oc0168",35.0,2.5,331.15793,56.95619,101.66458,1.14501,0.1143,-2.456,-1.7697,-79.22,2.0,6.565,0.3182,3.44,0.9897,2.62,"nan",84.0,43.0,0.3355,0.3896,3049.0,"nan","nan","nan","nan","CB",0.0,0.28,"n"
"OC 0169","oc0169",17.0,8.2,334.43999,54.99917,102.02079,-1.53976,0.3097,-3.6413,-3.122,-41.54025,2.0,"nan","nan",2.21,"nan","nan","nan",398.0,"nan",0.051,"nan","nan","nan","nan","nan","nan","AC",0.0,0.14,"y"
"OC 0170","oc0170",44.0,3.4,333.88321,56.2177,102.45355,-0.31951,0.4028,-2.0809,-1.5598,"nan",0.0,2.42,0.1697,2.55,0.9209,2.25,"nan",166.0,113.0,0.4855,0.1775,593.0,"nan","nan","nan","nan","CA",0.0,0.51,"n"
"OC 0171","oc0171",73.0,2.3,333.06994,57.26891,102.69316,0.79028,0.2774,-3.8064,-3.0806,-61.98635,2.0,"nan","nan",1.56,"nan","nan","nan",10.0,"nan",0.223,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0172","oc0172",36.0,1.8,333.08482,57.26894,102.69422,0.78856,0.2913,-3.7808,-3.082,-61.98635,2.0,"nan","nan",2.88,"nan","nan","nan",13.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0173","oc0173",22.0,1.5,333.10052,57.27712,102.71089,0.79521,0.2782,-3.8159,-3.1212,-61.98635,2.0,"nan","nan",4.56,"nan","nan","nan",8.0,"nan",0.575,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0174","oc0174",45.0,1.0,337.7253,53.95129,103.10027,-3.42148,0.1897,-3.0734,-2.3738,"nan",0.0,"nan","nan",1.58,"nan","nan","nan",8.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0175","oc0175",45.0,2.1,334.71598,57.43645,103.51486,0.42896,0.3213,-4.3914,-3.587,-72.6439,1.0,2.655,0.3182,2.84,0.4751,1.95,"nan",631.0,212.0,0.06,0.212,780.0,"nan","nan","nan","nan","DB",1.0,0.0,"n"
"OC 0176","oc0176",19.0,1.5,340.66635,52.39504,103.86268,-5.63906,0.2712,-1.3436,-3.213,-69.9652,2.0,"nan","nan",3.38,"nan","nan","nan",3981.0,"nan",0.051,"nan","nan","nan","nan","nan","nan","BA",1.0,0.0,"n"
"OC 0177","oc0177",44.0,1.5,335.04792,58.12779,104.03869,0.9134,0.3014,-3.8796,-2.9518,-216.07,1.0,"nan","nan",3.62,"nan","nan","nan",32.0,"nan",0.37,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0178","oc0178",22.0,3.8,338.2972,56.52888,104.70661,-1.36547,0.2373,-3.3442,-2.6452,"nan",0.0,"nan","nan",2.42,"nan","nan","nan",32.0,"nan",0.274,"nan","nan","nan","nan","nan","nan","AA",0.0,0.24,"y"
"OC 0179","oc0179",30.0,2.8,338.40704,56.54113,104.74016,-1.37662,0.2508,-3.3436,-2.6415,"nan",0.0,3.94,0.3394,1.87,0.3897,0.68,"nan",19.0,7.0,0.1155,0.0912,638.0,"nan","nan","nan","nan","AB",0.0,0.42,"n"
"OC 0180","oc0180",41.0,8.9,331.19167,62.27857,104.8033,5.44243,1.0701,-1.4859,-2.7162,-15.55225,6.0,"nan","nan",2.9,"nan","nan","nan",5.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AB",0.0,0.43,"n"
"OC 0181","oc0181",17.0,16.3,334.01832,61.11837,105.29265,3.73138,1.1315,-1.0049,-3.011,-15.42435,4.0,1.04,0.2546,2.25,1.1057,0.93,"nan",3.0,78.0,0.3165,0.1322,120.0,"nan","nan","nan","nan","AC",0.12,0.23,"y"
"OC 0182","oc0182",79.0,2.3,337.07329,59.1308,105.4623,1.2045,0.2627,-3.3406,-2.3873,87.836,3.0,"nan","nan",3.82,"nan","nan","nan",50.0,"nan",0.37,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0183","oc0183",43.0,1.7,337.07843,59.14268,105.47495,1.20737,0.2816,-3.3341,-2.375,87.836,3.0,"nan","nan",2.47,"nan","nan","nan",1.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0184","oc0184",35.0,5.2,334.65408,61.61572,105.80258,3.94026,1.154,-1.0393,-2.4782,-24.2008,7.0,"nan","nan",1.2,"nan","nan","nan",1.0,"nan",0.051,"nan","nan","nan","nan","nan","nan","AB",0.0,0.42,"n"
"OC 0185","oc0185",18.0,12.5,332.68353,63.30244,106.01006,5.87643,1.0846,-0.9217,-2.2591,-18.2985,5.0,0.91,0.0141,1.12,0.2001,2.27,"nan",5.0,1.0,-0.0445,0.1351,125.0,"nan","nan","nan","nan","AC",0.0,0.29,"n"
"OC 0186","oc0186",42.0,1.9,339.95116,58.70713,106.54009,0.08956,0.3243,-2.6289,-2.1066,-40.2484,1.0,3.235,0.7,2.74,1.2766,1.51,"nan",93.0,20.0,0.6755,0.8832,935.0,"nan","nan","nan","nan","AA",0.0,0.58,"n"
"OC 0187","oc0187",25.0,7.6,341.2165,57.54075,106.5671,-1.24087,0.6403,-3.9366,-2.9697,-24.9946,2.0,"nan","nan",1.85,"nan","nan","nan",398.0,"nan",0.457,"nan","nan","nan","nan","nan","nan","AB",0.0,0.28,"n"
"OC 0188","oc0188",35.0,1.6,342.91334,56.10139,106.74753,-2.95916,0.5078,-3.4851,-1.7346,"nan",0.0,"nan","nan",2.76,"nan","nan","nan",398.0,"nan",0.575,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0189","oc0189",24.0,4.1,336.29866,62.31282,106.82461,4.11804,0.5538,-4.126,-3.878,"nan",0.0,1.94,0.3536,3.41,1.7481,2.62,"nan",71.0,128.0,0.5705,0.0573,214.0,"nan","nan","nan","nan","CC",0.0,0.35,"n"
"OC 0190","oc0190",25.0,1.4,343.1796,57.51868,107.51015,-1.75619,0.1539,-2.353,-1.3062,-63.5533,1.0,5.69,0.1273,2.84,0.8262,2.09,"nan",80.0,20.0,0.554,0.0792,1105.0,"nan","nan","nan","nan","DA",0.0,0.39,"n"
"OC 0191","oc0191",32.0,0.8,343.7918,57.10228,107.61693,-2.27276,0.2552,-1.212,-1.3062,-37.50065,8.0,"nan","nan",3.72,"nan","nan","nan",1585.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0192","oc0192",24.0,5.9,343.38811,57.5293,107.60207,-1.80144,1.0845,-0.7322,-1.538,-15.1742,5.0,0.92,0.0283,1.27,0.398,0.31,"nan",50.0,26.0,-0.179,0.4115,68.0,"nan","nan","nan","nan","AC",0.0,0.43,"n"
"OC 0193","oc0193",23.0,5.2,343.49542,58.96091,108.29765,-0.52161,0.5977,-3.7948,-2.5313,"nan",0.0,1.69,0.1131,1.66,0.3579,1.23,"nan",64.0,203.0,0.288,0.0858,118.0,"nan","nan","nan","nan","CB",0.0,0.34,"n"
"OC 0194","oc0194",54.0,9.4,336.81588,64.91322,108.40605,6.18146,0.866,-2.5528,-1.8428,-40.3742,3.0,"nan","nan",4.61,"nan","nan","nan",25.0,"nan",0.575,"nan","nan","nan","nan","nan","nan","BB",0.0,0.4,"n"
"OC 0195","oc0195",43.0,2.6,345.56254,57.05911,108.46737,-2.71989,0.2755,-3.5664,-2.2188,"nan",0.0,"nan","nan",3.79,"nan","nan","nan",13.0,"nan",0.051,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0196","oc0196",29.0,5.7,344.57648,59.03421,108.7895,-0.67283,0.8084,-4.0841,-5.3635,-14.4932,1.0,1.27,0.099,1.92,0.1222,2.34,"nan",724.0,222.0,-0.025,0.1126,155.0,"nan","nan","nan","nan","CA",0.0,0.53,"n"
"OC 0197","oc0197",14.0,1.1,343.57125,60.81392,109.12634,1.12499,0.2585,-2.7504,-1.6594,-55.09105,2.0,"nan","nan",1.01,"nan","nan","nan",794.0,"nan",0.223,"nan","nan","nan","nan","nan","nan","AC",1.0,0.0,"n"
"OC 0198","oc0198",25.0,11.2,349.23417,55.19829,109.68505,-5.18907,1.1648,0.492,-1.7454,-22.05045,8.0,"nan","nan",2.02,"nan","nan","nan",50.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AB",0.0,0.33,"n"
"OC 0199","oc0199",23.0,2.7,348.06119,56.81571,109.63556,-3.47332,0.5129,-3.2816,-2.6786,"nan",0.0,"nan","nan",3.43,"nan","nan","nan",251.0,"nan",0.457,"nan","nan","nan","nan","nan","nan","AB",0.92,0.03,"n"
"OC 0200","oc0200",18.0,7.8,325.93367,72.35419,109.72761,14.49834,0.1532,-2.3566,-0.6608,-102.7027,2.0,"nan","nan",2.86,"nan","nan","nan",2512.0,"nan",0.537,"nan","nan","nan","nan","nan","nan","CC",0.0,0.05,"y"
"OC 0201","oc0201",27.0,1.7,347.05478,60.52358,110.57001,0.15468,0.3674,-4.7963,-2.7302,-61.11185,6.0,"nan","nan",3.86,"nan","nan","nan",158.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","BA",1.0,0.0,"n"
"OC 0202","oc0202",27.0,1.4,348.50067,59.81981,110.96109,-0.76833,0.2904,-2.954,-1.7252,-66.3797,1.0,"nan","nan",1.13,"nan","nan","nan",501.0,"nan",0.051,"nan","nan","nan","nan","nan","nan","DB",0.52,0.15,"n"
"OC 0203","oc0203",35.0,4.3,348.85796,59.99383,111.19582,-0.67264,0.6958,-1.753,-1.3721,-6.5627,2.0,1.465,0.1344,1.45,0.2212,1.47,"nan",143.0,86.0,0.4395,0.3825,195.0,"nan","nan","nan","nan","BB",0.0,0.47,"n"
"OC 0204","oc0204",24.0,6.1,315.52057,77.03807,111.34184,19.68594,2.6909,5.2696,3.8986,-19.502,8.0,"nan","nan",1.3,"nan","nan","nan",2.0,"nan",0.051,"nan","nan","nan","nan","nan","nan","AA",0.0,0.4,"n"
"OC 0205","oc0205",70.0,2.3,348.83212,64.1618,112.69492,3.2182,0.3394,-1.856,-0.7756,-31.875,6.0,"nan","nan",1.25,"nan","nan","nan",6.0,"nan",0.414,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0206","oc0206",43.0,5.6,353.01056,59.97837,113.13669,-1.37988,0.3238,-3.7686,-2.5233,-43.1009,2.0,2.96,0.198,3.61,0.3651,2.52,"nan",11.0,33.0,0.3755,0.4589,486.0,"nan","nan","nan","nan","DB",0.0,0.3,"n"
"OC 0207","oc0207",27.0,5.0,354.4677,57.7792,113.24075,-3.71874,0.7203,-4.5981,-1.7957,-13.0252,1.0,1.42,0.099,1.46,0.911,1.29,"nan",105.0,19.0,0.5105,0.1421,162.0,"nan","nan","nan","nan","AB",0.0,0.5,"n"
"OC 0208","oc0208",25.0,3.6,355.1233,60.22776,114.22727,-1.44895,0.3158,-3.3461,-2.1097,"nan",0.0,3.095,0.3041,3.41,0.3884,2.24,"nan",11.0,10.0,0.631,0.734,683.0,"nan","nan","nan","nan","CB",0.0,0.32,"n"
"OC 0209","oc0209",29.0,7.5,341.3529,75.10942,114.97687,14.24112,2.9057,7.3393,0.2888,-16.6891,3.0,"nan","nan",4.13,"nan","nan","nan",8.0,"nan",0.498,"nan","nan","nan","nan","nan","nan","AA",0.0,0.46,"n"
"OC 0210","oc0210",32.0,4.6,357.42004,59.00638,115.03978,-2.9245,0.4977,-3.1503,-1.0064,"nan",0.0,"nan","nan",4.85,"nan","nan","nan",501.0,"nan",0.051,"nan","nan","nan","nan","nan","nan","AB",1.0,0.0,"n"
"OC 0211","oc0211",25.0,6.5,357.36267,61.96768,115.71195,-0.03106,0.3282,-3.4288,-1.5468,"nan",0.0,"nan","nan",2.02,"nan","nan","nan",13.0,"nan",0.457,"nan","nan","nan","nan","nan","nan","BB",0.04,0.17,"y"
"OC 0212","oc0212",22.0,1.7,357.48375,62.70713,115.94743,0.67229,0.3412,-3.2614,-1.7025,"nan",0.0,"nan","nan",2.62,"nan","nan","nan",158.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","BA",1.0,0.0,"n"
"OC 0213","oc0213",56.0,1.5,359.60916,61.20511,116.59216,-1.01596,0.2934,-3.2399,-1.7074,-58.92925,2.0,"nan","nan",4.68,"nan","nan","nan",40.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0214","oc0214",23.0,3.0,0.77514,60.99308,117.1098,-1.34314,0.3146,-3.0422,-1.4881,"nan",0.0,"nan","nan",0.74,"nan","nan","nan",16.0,"nan",0.414,"nan","nan","nan","nan","nan","nan","AB",0.36,0.17,"n"
"OC 0215","oc0215",16.0,2.7,2.51448,61.17418,117.9599,-1.29933,0.226,-2.7222,-0.8721,-59.6616,3.0,"nan","nan",2.62,"nan","nan","nan",1.0,"nan",0.323,"nan","nan","nan","nan","nan","nan","CA",1.0,0.0,"n"
"OC 0216","oc0216",31.0,1.9,2.51448,61.17443,117.96338,-1.29941,0.253,-2.7523,-0.8779,-59.68575,2.0,"nan","nan",2.54,"nan","nan","nan",316.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","CA",1.0,0.0,"n"
"OC 0217","oc0217",51.0,2.0,2.53066,61.18433,117.97107,-1.2903,0.2484,-2.7173,-0.8827,-59.6859,9.0,"nan","nan",2.9,"nan","nan","nan",316.0,"nan",0.112,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0218","oc0218",14.0,2.2,2.51448,61.14864,117.96148,-1.32359,0.2589,-2.7388,-0.8317,-58.0727,1.0,"nan","nan",2.11,"nan","nan","nan",501.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","BB",1.0,0.0,"n"
"OC 0219","oc0219",22.0,2.1,2.63852,61.18518,118.02436,-1.29872,0.2612,-2.7325,-0.8432,-61.2988,1.0,"nan","nan",2.62,"nan","nan","nan",501.0,"nan",0.223,"nan","nan","nan","nan","nan","nan","CA",1.0,0.0,"n"
"OC 0220","oc0220",16.0,4.0,3.28604,62.47276,118.52602,-0.06703,0.3093,-2.0371,-0.9284,"nan",0.0,"nan","nan",0.02,"nan","nan","nan",398.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","BB",0.84,0.02,"n"
"OC 0221","oc0221",29.0,1.1,4.08233,59.96527,118.5462,-2.60821,0.154,-1.609,-1.291,"nan",0.0,"nan","nan",2.74,"nan","nan","nan",794.0,"nan",0.112,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0222","oc0222",28.0,1.0,4.42582,60.94518,118.84616,-1.65782,0.2812,-0.6752,-0.7462,-63.43285,2.0,"nan","nan",2.66,"nan","nan","nan",794.0,"nan",0.575,"nan","nan","nan","nan","nan","nan","CA",1.0,0.0,"n"
"OC 0223","oc0223",23.0,3.4,3.20299,65.55957,118.94823,2.98699,1.3912,2.3802,-2.486,-12.3802,1.0,"nan","nan",2.74,"nan","nan","nan",1.0,"nan",0.051,"nan","nan","nan","nan","nan","nan","AA",0.0,0.4,"n"
"OC 0224","oc0224",22.0,6.9,6.63914,52.9076,119.12134,-9.78564,0.5664,-2.0397,-1.2415,-7.3888,2.0,"nan","nan",2.33,"nan","nan","nan",50.0,"nan",0.498,"nan","nan","nan","nan","nan","nan","BC",0.76,0.03,"n"
"OC 0225","oc0225",43.0,6.3,4.10182,64.97661,119.23691,2.36129,1.3305,-0.9015,0.6138,-3.6577,15.0,"nan","nan",2.14,"nan","nan","nan",316.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","CA",0.0,0.41,"n"
"OC 0226","oc0226",32.0,1.1,6.39874,63.75835,120.08068,1.02955,0.1964,-2.4828,-0.92,-65.9269,4.0,"nan","nan",2.47,"nan","nan","nan",200.0,"nan",0.537,"nan","nan","nan","nan","nan","nan","CA",1.0,0.0,"n"
"OC 0227","oc0227",24.0,4.1,7.63032,65.49948,120.76623,2.71525,1.4015,2.1844,-2.783,14.59885,6.0,0.915,0.3323,2.01,0.2797,1.71,"nan",4.0,119.0,0.131,0.0269,"nan","nan","nan","nan","nan","AB",0.0,0.35,"n"
"OC 0228","oc0228",31.0,1.4,10.63529,64.05335,121.95956,1.19865,0.3643,-2.7458,-0.6221,-46.4892,1.0,"nan","nan",0.74,"nan","nan","nan",8.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","BA",1.0,0.0,"n"
"OC 0229","oc0229",30.0,2.0,11.28264,64.39329,122.25108,1.52982,0.2977,-2.4299,-0.3406,"nan",0.0,"nan","nan",1.9,"nan","nan","nan",10.0,"nan",0.498,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0230","oc0230",23.0,1.5,11.28365,64.3822,122.25065,1.51876,0.3158,-2.4379,-0.3615,"nan",0.0,"nan","nan",1.54,"nan","nan","nan",10.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0231","oc0231",24.0,2.8,13.74213,62.04753,123.34586,-0.81946,0.3191,-1.654,-0.4625,"nan",0.0,2.92,0.0424,3.17,0.5417,1.71,"nan",31.0,17.0,0.4905,0.1704,307.0,"nan","nan","nan","nan","AA",0.0,0.45,"n"
"OC 0232","oc0232",24.0,5.3,17.62827,62.74256,125.11151,-0.05016,0.3725,-2.0606,-0.3428,"nan",0.0,2.595,0.1202,2.57,0.924,1.12,"nan",76.0,48.0,0.4655,0.2058,415.0,"nan","nan","nan","nan","AB",0.0,0.31,"n"
"OC 0233","oc0233",26.0,1.6,17.8443,57.55513,125.6158,-5.21256,0.4146,-2.1547,-1.3074,-47.605,2.0,2.145,0.2051,1.1,1.0999,1.38,"nan",10.0,18.0,0.04,0.4667,221.0,"nan","nan","nan","nan","AB",0.0,0.5,"n"
"OC 0234","oc0234",39.0,9.9,20.86957,65.3854,126.25597,2.71251,0.8034,3.5224,-1.1582,-40.7814,8.0,"nan","nan",2.88,"nan","nan","nan",398.0,"nan",0.051,"nan","nan","nan","nan","nan","nan","AB",0.0,0.35,"n"
"OC 0235","oc0235",30.0,3.5,19.81815,61.01912,126.2969,-1.66896,0.4898,-1.2336,-0.2212,"nan",0.0,"nan","nan",4.32,"nan","nan","nan",316.0,"nan",0.051,"nan","nan","nan","nan","nan","nan","AB",1.0,0.0,"n"
"OC 0236","oc0236",21.0,1.6,19.91355,58.28095,126.64611,-4.38521,0.2889,-1.6248,-0.7192,"nan",0.0,4.21,"nan",1.715,0.0212,"nan","nan",115.0,148.0,0.5555,0.0785,4232.0,"nan",0.43,"nan","nan","AB",1.0,0.0,"n"
"OC 0237","oc0237",56.0,4.6,22.67174,62.40458,127.46554,-0.12955,0.3345,-1.5919,-0.4184,"nan",0.0,3.06,0.5091,2.13,1.1346,2.31,"nan",19.0,5.0,0.1855,0.1902,866.0,"nan","nan","nan","nan","AA",0.0,0.55,"n"
"OC 0238","oc0238",25.0,1.7,25.21883,64.50847,128.22009,2.14517,0.3437,-3.2666,0.0641,-47.8794,3.0,"nan","nan",1.82,"nan","nan","nan",2512.0,"nan",0.169,"nan","nan","nan","nan","nan","nan","BB",1.0,0.0,"n"
"OC 0239","oc0239",37.0,2.5,26.13078,58.76301,129.7837,-3.40863,0.4892,-0.9697,-1.1024,-33.4255,1.0,"nan","nan",3.1,"nan","nan","nan",316.0,"nan",0.575,"nan","nan","nan","nan","nan","nan","AB",1.0,0.0,"n"
"OC 0240","oc0240",53.0,5.2,37.49523,73.01942,130.08778,11.53085,1.1175,-1.3651,-1.814,-26.8549,3.0,"nan","nan",1.78,"nan","nan","nan",5.0,"nan",0.575,"nan","nan","nan","nan","nan","nan","AA",0.87,0.07,"n"
"OC 0241","oc0241",25.0,1.1,35.42554,65.89523,131.98033,4.61326,0.1701,-0.5327,0.9415,-38.052,2.0,"nan","nan",1.82,"nan","nan","nan",1259.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","CA",1.0,0.0,"n"
"OC 0242","oc0242",25.0,12.4,42.4208,68.98448,133.25808,8.50532,2.279,1.5559,-7.9828,-7.1312,13.0,"nan","nan",1.82,"nan","nan","nan",32.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","CA",0.0,0.38,"n"
"OC 0243","oc0243",32.0,4.5,37.35594,62.95754,133.8095,2.16774,0.3162,-0.3036,-0.1917,"nan",0.0,2.86,0.0566,2.06,0.0611,1.89,"nan",13.0,9.0,0.315,0.0778,241.0,"nan","nan","nan","nan","AB",0.34,0.25,"n"
"OC 0244","oc0244",21.0,2.9,37.8885,63.37966,133.8652,2.65269,0.3224,-0.2639,-0.2317,"nan",0.0,"nan","nan",1.73,"nan","nan","nan",8.0,"nan",0.575,"nan","nan","nan","nan","nan","nan","BC",0.0,0.2,"y"
"OC 0245","oc0245",28.0,2.7,34.87999,58.30438,134.30654,-2.60961,0.4663,-0.4486,-0.8772,-32.8348,1.0,"nan","nan",2.3,"nan","nan","nan",79.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","CB",0.96,0.01,"n"
"OC 0246","oc0246",34.0,5.0,35.80423,59.65426,134.29552,-1.18575,0.3244,-0.4326,-0.6076,-68.8677,2.0,"nan","nan",2.9,"nan","nan","nan",316.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AB",0.0,0.29,"n"
"OC 0247","oc0247",24.0,6.7,34.61207,56.8475,134.65007,-4.04134,0.3832,-0.6181,-1.1841,"nan",0.0,"nan","nan",0.55,"nan","nan","nan",25.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AB",0.16,0.16,"y"
"OC 0248","oc0248",33.0,2.1,38.2102,61.46661,134.73141,0.93785,0.4614,-0.778,-0.737,-42.45315,2.0,"nan","nan",3.26,"nan","nan","nan",5.0,"nan",0.051,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0249","oc0249",22.0,1.5,37.37257,59.83318,134.96841,-0.7279,0.3516,-0.072,-0.4642,"nan",0.0,"nan","nan",2.35,"nan","nan","nan",8.0,"nan",0.223,"nan","nan","nan","nan","nan","nan","AA",0.92,0.03,"n"
"OC 0250","oc0250",9.0,7.6,35.51925,57.16447,135.00271,-3.56367,0.4671,-0.5491,-1.1103,"nan",0.0,"nan","nan",2.64,"nan","nan","nan",32.0,"nan",0.169,"nan","nan","nan","nan","nan","nan","DB",0.32,0.04,"n"
"OC 0251","oc0251",23.0,6.9,35.32545,56.66622,135.09953,-4.06087,0.4035,-0.5175,-1.2439,"nan",0.0,"nan","nan",2.83,"nan","nan","nan",158.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AB",0.0,0.19,"y"
"OC 0252","oc0252",21.0,7.0,37.64552,58.1032,135.75214,-2.28629,0.3884,-0.3566,-0.9962,"nan",0.0,"nan","nan",1.8,"nan","nan","nan",13.0,"nan",0.537,"nan","nan","nan","nan","nan","nan","AC",0.6,0.06,"n"
"OC 0253","oc0253",34.0,3.5,38.3709,57.55458,136.31236,-2.63978,0.4585,-0.271,-1.1192,"nan",0.0,"nan","nan",3.31,"nan","nan","nan",6.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AB",0.94,0.02,"n"
"OC 0254","oc0254",27.0,3.0,42.5294,62.08193,136.34872,2.33545,0.159,-0.5995,0.1555,"nan",0.0,4.78,1.2587,2.39,0.8343,2.5,"nan",54.0,77.0,0.271,0.2249,946.0,"nan","nan","nan","nan","BB",0.0,0.29,"n"
"OC 0255","oc0255",22.0,0.7,43.53768,60.6571,137.41563,1.2825,0.4677,-0.0772,-0.2338,"nan",0.0,1.92,0.1414,1.57,0.1504,1.33,"nan",5.0,1.0,0.3955,0.3048,180.0,"nan","nan","nan","nan","AB",1.0,0.0,"n"
"OC 0256","oc0256",22.0,6.5,42.97789,56.75981,138.92735,-2.35021,0.3955,0.399,-1.2925,-64.9507,1.0,"nan","nan",1.03,"nan","nan","nan",1.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","BB",0.76,0.03,"n"
"OC 0257","oc0257",22.0,22.4,46.05823,59.29723,139.18959,0.68927,1.192,-0.1819,-1.4331,-14.0092,7.0,0.82,0.0,1.61,1.3032,0.79,"nan",316.0,140.0,0.4205,0.2694,79.0,"nan","nan","nan","nan","DC",0.0,0.15,"y"
"OC 0258","oc0258",21.0,6.9,44.7218,57.68626,139.31032,-1.06264,0.4215,0.5995,-1.2566,17.28225,2.0,"nan","nan",2.47,"nan","nan","nan",32.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","BB",0.04,0.13,"y"
"OC 0259","oc0259",34.0,4.6,45.08058,57.4708,139.59168,-1.1759,0.4192,0.6851,-1.3091,-93.0477,2.0,"nan","nan",2.42,"nan","nan","nan",1.0,"nan",0.112,"nan","nan","nan","nan","nan","nan","CB",0.26,0.2,"n"
"OC 0260","oc0260",25.0,20.5,49.31885,60.00898,140.17371,2.17783,1.6354,-4.2574,-0.9689,-21.647,11.0,"nan","nan",2.98,"nan","nan","nan",40.0,"nan",0.457,"nan","nan","nan","nan","nan","nan","CB",0.96,0.01,"n"
"OC 0261","oc0261",27.0,1.1,49.2629,58.6141,140.93864,0.92754,0.2913,-0.5437,-0.45,9.35415,2.0,"nan","nan",0.84,"nan","nan","nan",126.0,"nan",0.457,"nan","nan","nan","nan","nan","nan","CA",1.0,0.0,"n"
"OC 0262","oc0262",46.0,7.0,50.17714,58.92778,141.16402,1.444,0.9086,0.4779,-1.6639,-17.5668,7.0,"nan","nan",1.66,"nan","nan","nan",5.0,"nan",0.575,"nan","nan","nan","nan","nan","nan","AB",0.0,0.44,"n"
"OC 0263","oc0263",21.0,8.8,48.65729,54.35192,142.85425,-2.87736,0.5385,0.2026,-1.4525,11.7418,3.0,"nan","nan",4.2,"nan","nan","nan",251.0,"nan",0.498,"nan","nan","nan","nan","nan","nan","DC",0.0,0.06,"y"
"OC 0264","oc0264",25.0,7.6,57.68543,60.16939,143.55364,4.71038,1.5781,-2.9881,-0.5118,-22.24485,14.0,"nan","nan",2.06,"nan","nan","nan",40.0,"nan",0.169,"nan","nan","nan","nan","nan","nan","BB",0.0,0.35,"n"
